Item,Transaction,Kuantitas
KESED ANYAMAN,4,2
JAM DINDING ANGKA,1,2
JAM DINDING ANGKA,1,1
MASKER DUCKBIL ANAK,2,1
CUTER TRANSPARAN,1,2
JAM DINDING ANGKA,2,1
PANCI SUSU TUTUP 16,3,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1,2
SPREI MY LOVE 180 30CM,1,1
RAK SET GANTUNG 3IN1,1,1
RAK AMAZING BY SHENAR,1,2
RANTANG JAGO STENLIS,1,1
BUSA ROYAL 140x30,1,1
BUSA ROYAL 160x20,2,1
SELIMUT KARAKTER ANAK,3,4
BANTAL/GULING MAHKOTA MERAH,4,4
CETAKAN PUKIS SUGGO,5,1
BANTAL CINTA,6,5
CUTER TRANSPARAN,1,2
CUTER TRANSPARAN,1,1
SANDAL SWALLOW SERI,1,1
SENDOK/GARPU BATIK,1,1
PANGGANGAN LIPAT,1,1
LEMARI PIRING SLIDING PLUS LACI 6P,1,1
STAN HANGER TOPI,2,1
MAWAR LAUNDRY REFILL,1,1
BABY WALKER 89,1,1
"OILPOTS STAINLESS 1,3L",2,1
PANCI GORENG SARANGAN,3,1
PANCI KUAH AXLO 22CM,4,1
CUTER TRANSPARAN,1,1
CUTER TRANSPARAN,1,1
CUTER TRANSPARAN,1,1
SPREI MY LOVE 180 30CM,1,3
TREMOS SOLARIS LION STAR,1,1
PANCI SUSU TUTUP 16,1,1
CUTER TRANSPARAN,1,1
SPREI MY LOVE 180 30CM,1,1
SPREI LADY ROSE 180x20,1,1
TEPUNG IRUT,1,1
RAK BUKU GSF,1,1
CUTER TRANSPARAN,1,5
TREMOS INDOGLASS 750ML,1,1
KESED 5D DIATOMITE,1,2
BLENDER KAPSUL,1,1
TEKO VACUM,2,1
GAGANG SUPERMOP,3,1
SPRINGBED BIGDREAM 180,1,1
KIPAS WELHOME BERDIRI 1681,1,1
WAJAN KUPING ENAMEL,1,1
MAWAR LAUNDRY REFILL,2,5
MASKER DUCKBIL ANAK,3,1
SPREI MY LOVE 180 30CM,1,1
TEKO SET JAGO,1,1
TIMBANGAN DAPUR KENMASTER,2,1
TEFLON GSF 22CM,3,1
BUSA ROYAL 120x20,1,1
MAWAR LAUNDRY REFILL,1,1
SPRINGBED VALENCIA,2,1
BONEKA BOBA LED XL,1,1
BONEKA BOBA LED XL,1,1
SIRUP ABC DUS,1,2
BOTOL KACA KAKTUS,2,1
RACUN TIKUS,3,2
TABLET LCD,1,1
RACUN TIKUS,2,1
KANEBO BIRU,3,1
SAMBUNGAN KRAN,4,1
DIPAN SULTAN,1,1
BUSA MEDICARE 120,1,1
SPREI LADY ROSE 120X20,2,2
KARPET SPONS MURAH,1,1
PISAU SULTAN,1,1
RAK KAMAR MANDI KOTAK,2,1
KURSI JATI FINISHING MELING,1,1
KIPAS WELHOME BERDIRI 1681,2,1
KOMPOR PORTABLE MYVO,1,1
SIRUP ABC DUS,1,1
CUTER TRANSPARAN,2,1
TATAKAN KOMPOR KAKI 6,1,1
